battleID,userID,battle,n_sims
1,1,Dark Side 7-A (Hard),5
2,1,Cantina 5-G ,20
3,1,Cantina 5-G ,15
4,1,Light Side 6-A (Hard),5
5,1,Fleet 2-E (Hard),5
6,1,Light Side 8-D (Hard),4
7,1,Fleet 1-B (Hard),2
8,3,Light Side 6-B (Hard),5
9,3,Dark Side 7-D (Hard),3
10,3,Fleet 2-A (Hard),5
11,3,Fleet 3-D (Hard),1
12,3,Cantina 5-D,5
13,1,Cantina 5-G ,8
14,1,Light Side 8-D (Hard),1
15,1,Dark Side 5-D (Hard),5
16,1,Dark Side 9-B (Hard),3
17,1,Fleet 1-B (Hard),3
18,1,Fleet 5-A (Hard),3
19,3,Cantina 5-D,8
20,3,Dark Side 7-D (Hard),2
21,3,Fleet 3-D (Hard),4
22,3,Light Side 8-D (Hard),5
23,3,Fleet 3-B (Hard),1
24,3,Dark Side 9-B (Hard),1